name,"Lichess Name
(if different)",Ban Date,Reason,Other Notes
wahoowa,,Around Feb 2016,Marked as using computer assistance on lichess,
Zouave,,Around Apr 2016,Marked as using computer assistance on lichess,
karljw34,,Around Apr 2016,Marked as using computer assistance on lichess,
SolaRoar,,Around Apr 2016,Marked as using computer assistance on lichess,
Hewkn,,Around May 2016,Artificial rating change,
kevinlara,,Around May 2016,Marked as using computer assistance on lichess,
Sturmwehr_45,,Around Jun 2016,Marked as using computer assistance on lichess,
Super_Sanic,,Around Jul 2016,Marked as using computer assistance on lichess,
busho123,,Around Sep 2016,Artificial rating change,
frogger,,Around Oct 2016,Marked as using computer assistance on lichess,
elbegelbe,,Around Oct 2016,Marked as using computer assistance on lichess,
MeWantCookie,,Around Oct 2016,Marked as using computer assistance on lichess,
MrTwoEyes,,Around Oct 2016,Marked as using computer assistance on lichess,
juanma206,,Around Nov 2016,Troll,
The-Soviet-Chess,,Around Nov 2016,Marked as using computer assistance on lichess,
spicy-chess,,Around Nov 2016,Marked as using computer assistance on lichess,
nhmwhhxx,,Around Dec 2016,Marked as using computer assistance on lichess,
Guitarplaya,,Around Jan 2017,Cheating alt,Guitarplayabreh
GaryIndiana,,Around Jan 2017,Marked as using computer assistance on lichess,
renatoperu,,Around Jan 2017,Marked as using computer assistance on lichess,
ascer,,Around Jan 2017,Marked as using computer assistance on lichess,
Beauvain,,Around Mar 2017,Marked as using computer assistance on lichess,
DonJohn,,Around Mar 2017,Marked as using computer assistance on lichess,
Abhy0024,,Around Mar 2017,Marked as using computer assistance on lichess,
vneustroev,,Around Mar 2017,Marked as using computer assistance on lichess,
ghdef457,,Around Mar 2017,Marked as using computer assistance on lichess,
Bojans_88,,Around Apr 2017,Marked as using computer assistance on lichess,
Bastel,,Around Apr 2017,Cheating alt,Beauvain
tays,,Around Apr 2017,Marked as using computer assistance on lichess,
runagrog,,Around Apr 2017,Marked as using computer assistance on lichess,
doberm4n,,Around May 2017,Marked as using computer assistance on lichess,
determination,,Around May 2017,Marked as using computer assistance on lichess,
sleightly,,Around May 2017,Marked as using computer assistance on lichess,
saltator,,Around May 2017,Marked as using computer assistance on lichess,
ben_yeomans2,,Around May 2017,Marked as using computer assistance on lichess,
thegreatattacker,,Around May 2017,Marked as using computer assistance on lichess,
nork,,Around Jun 2017,Troll,Can't remember - possibly racism.
madi1693,,Around Jun 2017,Artificial rating change,
sojuzpl,,Around Jun 2017,Marked as using computer assistance on lichess,
roadToTheTop,,Around Jun 2017,Marked as using computer assistance on lichess,
the_fischer_king,,Around Jun 2017,Marked as using computer assistance on lichess,
mynameis789,,Around Jul 2017,cheat detected league game,
kido25,,Around Jul 2017,Artificial rating change,
JTate,,Around Aug 2017,Marked as using computer assistance on lichess,
Saschlars,,Around Aug 2017,Marked as using computer assistance on lichess,
Band_of_brothers,,Around Aug 2017,Marked as using computer assistance on lichess,
MyronLawz,,Around Aug 2017,Cheating alt,
PasiP,,Around Aug 2017,Artificial rating change,
Arlberg,,Around Sep 2017,Marked as using computer assistance on lichess,
Atrophied,,Around Sep 2017,Marked as using computer assistance on lichess,
felixnl,,Around Sep 2017,Marked as using computer assistance on lichess,
foreverweak,,Around Sep 2017,Marked as using computer assistance on lichess,
marstem,,Around Sep 2017,Marked as using computer assistance on lichess,
oignons,,Around Sep 2017,Marked as using computer assistance on lichess,IP print match god666 - daughter apparently
wardsstone,,Around Sep 2017,Marked as using computer assistance on lichess,
gorathger,,Around Sep 2017,Marked as using computer assistance on lichess,
ffenliv,,Around Oct 2017,Marked as using computer assistance on lichess,
matt_p_14,,Around Oct 2017,Marked as using computer assistance on lichess,
plasterhippy,,Around Nov 2017,Troll,
Dimirvla,,Around Nov 2017,Marked as using computer assistance on lichess,
gauravsinghmd,,Around Dec 2017,Marked as using computer assistance on lichess,
ghostult,,Around Dec 2017,Marked as using computer assistance on lichess,
chessandcoffee,,Around Dec 2017,Marked as using computer assistance on lichess,
baby_turtle,,Around Dec 2017,Troll,
uturuncoglu,,Around Dec 2017,Marked as using computer assistance on lichess,
Bektas,,Around Dec 2017,cheat detected game history,
ThePasiP,,Around Dec 2017,Artificial rating change,
Nitronite,,Around Jan 2018,Marked as using computer assistance on lichess,
iamjadetulip,,Around Jan 2018,Marked as using computer assistance on lichess,
Keresch,,Around Jan 2018,cheat detected game history,https://lichess.org/NCI4IIJ5
VVvenomVV,,Around Jan 2018,cheat detected game history,https://lichess.org/8zeacUxt
odyn1982,,Around Jan 2018,Marked as using computer assistance on lichess,
jkobs,,Around Jan 2018,cheat detected game history,https://lichess.org/QH2dU7Hk
the_loving_boy,,Around Jan 2018,cheat detected game history,https://lichess.org/Ke2gbjTC
Zharptytsia,,End of Jan 2018,Marked as using computer assistance on lichess,
SirTurtle,,Around Feb 2018,Marked as using computer assistance on lichess,
M_krev,,Around Feb 2018,Cheating alt,Artificial rating change
mekhami,,Around Mar 2018,Marked as using computer assistance on lichess,
GRSA,,Around Mar 2018,Underage,
PMyourPepes,,Around Mar 2018,Marked as using computer assistance on lichess,
rvolgman,,Around Mar 2018,Marked as using computer assistance on lichess,
LordHW4,,Around Mar 2018,Marked as using computer assistance on lichess,
desertMouse,,Around Mar 2018,cheat detected game history,https://lichess.org/egohEfDp
xDufff,,Around Mar 2018,Marked as using computer assistance on lichess,
LAPriest,,Around Mar 2018,Marked as using computer assistance on lichess,
WaveyLAD,,Around Mar 2018,Marked as using computer assistance on lichess,
Seabacon,,Around Apr 2018,Marked as using computer assistance on lichess,
LevriatSoulEdge,,Around Apr 2018,Marked as using computer assistance on lichess,
xearo,,Around May 2018,Marked as using computer assistance on lichess,
xpedro,,Around May 2018,Marked as using computer assistance on lichess,
loplok,,Around May 2018,Marked as using computer assistance on lichess,
DaveyJones01,,Around Jun 2018,Marked as using computer assistance on lichess,
chesswithamir,,Around Jun 2018,Cheating alt,
CurryTheCowardlyCrab,,01/06/2018,Troll,"Was very disrespectful towards opponent and mod, blitzed, mocked opponent, insulted mod when confronted"
mexicanstaringfrog,,01/06/2018,Troll,antisemetism
Truly_A_GM,,01/06/2018,Artificial rating change,same as loukas435/dimitris22 and others
dimitris22,,01/06/2018,Cheating alt,same as truly_a_gm/loukas435 and others
ssands,,01/06/2018,Marked as using computer assistance on lichess,
loukas435,,01/06/2018,Cheating alt,"IP/Print match to dimitris 22, but supposedly roomates, Threatened to sandbag team"
john465,,01/06/2018,Cheating alt,"IP/print match to loukas435 and registered using loukas465@gmail.com, almost certainly the same person"
onbion,,01/06/2018,Cheating alt,plus suspicious association with loukas435
nicoudeparis,,01/06/2018,Marked as using computer assistance on lichess,
d3doublexclam,,01/06/2018,Cheating alt,
Proustino,,01/06/2018,cheat detected game history,non-correspondence
Kraftzug,,04/06/2018,cheat detected game history,
Dgees,,01/07/2018,Marked as using computer assistance on lichess,
chessryo,,01/07/2018,Marked as using computer assistance on lichess,
nimzovit,,01/07/2018,Marked as using computer assistance on lichess,
Something_Unique,,01/07/2018,Cheating alt,
Chrisca408,,13/07/2018,Marked as using computer assistance on lichess,
DurchNachtUndWind,,14/07/2018,Marked as using computer assistance on lichess,
MrIan15,,08/08/2018,cheat detected game history,
greyhawk,,19/07/2018,cheat detected game history,non-correspondence
KaasHonijn,,21/09/2018,Cheating alt,
Anna_Nass,,27/09/2018,Marked as using computer assistance on lichess,
vadsamoht,,03/10/2018,Marked as using computer assistance on lichess,
a3516845,,03/10/2018,Marked as using computer assistance on lichess,
py3,,27/10/2018,Cheating alt,https://en.lichess.org/@/CYYC
Dinomoomoo,,28/10/2018,Marked as using computer assistance on lichess,
NnomiXD,,02/11/2018,cheat detected game history,non-correspondence
lez314,,07/11/2018,Marked as using computer assistance on lichess,
ChiggySmalls,,09/11/2018,Marked as using computer assistance on lichess,
PaulKagame,,11/11/2018,cheat detected game history,correspondence
imbadgoeasy,,16/11/2018,cheat detected game history,https://lichess.org/79pD8cmG#15
Mk91,,06/12/2018,Cheating alt,"Sandbagging alt, tried to register that alt for the league"
rgpchesspe,,10/12/2018,Marked as using computer assistance on lichess,
Bined,,12/12/2018,Marked as using computer assistance on lichess,
makeareason,,14/12/2018,Troll,"Disrespectful and abrasive to 45 mods and opponents
Offered second chance (email 28-Jul-2019)"
vacuum_cleaner,,14/12/2018,Cheating alt,
Tumadschin_Khan,,17/12/2018,Cheated in previous game,
DrunkPenguin,,21/12/2018,Marked as using computer assistance on lichess,
Wassero,,29/12/2018,Marked as using computer assistance on lichess,
batmanbinsuparman,,31/12/2018,Cheating alt,loads
EngineMan,,02/01/2019,Marked as using computer assistance on lichess,
d0g1ng00gl3,,07/01/2019,Marked as using computer assistance on lichess,
I_will_win,,10/01/2019,Marked as using computer assistance on lichess,
notmyjob88,,14/01/2019,Marked as using computer assistance on lichess,
Sorin_256,,26/01/2019,Marked as using computer assistance on lichess,"also, Cheating alt"
theotheo36,,04/02/2019,Cheating alt,
Wolf21,,06/02/2019,Cheating alt,
Christian89,,06/02/2019,cheat detected game history,correspondence
BlessedPawn,,25/02/2019,Marked as using computer assistance on lichess,
Programminglinguist,,25/02/2019,Marked as using computer assistance on lichess,
Fritz702,,26/02/2019,Marked as using computer assistance on lichess,
toastar,,28/02/2019,Marked as using computer assistance on lichess,
staskamaev,,03/03/2019,cheat detected game history,non-correspondence
tushar20008,,16/03/2019,cheat detected game history,"two, correspondence; account re-enabled due to amnesty"
glaciersix,,16/03/2019,Marked as using computer assistance on lichess,
Patrick-66,,16/03/2019,Cheating alt,
joey1472,,18/03/2019,Marked as using computer assistance on lichess,
SecretCaveman,,13/04/2019,Marked as using computer assistance on lichess,
fittyZ,,14/04/2019,Marked as using computer assistance on lichess,
asdarqw,,26/04/2019,Cheating alt,
twiningm,,01/05/2019,cheat detected game history,non-correspondence
swornt,,11/05/2019,Marked as using computer assistance on lichess,
alexluong,,15/05/2019,cheat detected league game,non-correspondence
SpeedCobra,,20/05/2019,cheat detected game history,correspondence; account re-enabled due to extenuating circumstances
Donkey-Kong16,,18/06/2019,Marked as using computer assistance on lichess,
intc,,26/06/2019,cheat detected league game,
Dazzles,,29/06/2019,Marked as using computer assistance on lichess,
Kalandra,,30/06/2019,Marked as using computer assistance on lichess,
puetzinat0r,,01/07/2019,Marked as using computer assistance on lichess,
RealRobbert,,08/07/2019,Marked as using computer assistance on lichess,
coldgreenII,,08/07/2019,Marked as using computer assistance on lichess,
zbakov,,11/07/2019,Troll,
karrotspls,,24/07/2019,Cheating alt,
klod42,,24/07/2019,cheat detected game history,
obvious_cheater,,24/07/2019,Cheating alt,
DragonicKhaos,,25/07/2019,cheat detected game history,https://lichess.org/0u6FhAzJ
avelez8,,25/07/2019,cheat detected game history,https://lichess.org/KjKiVQCz
abneric,,24/07/2019,Cheating alt,where cheating is Artificial rating change
sinquefieldcup,,01/08/2019,Marked as using computer assistance on lichess,
zopherus,,08/08/2019,Marked as using computer assistance on lichess,mark reversed and readmitted
ostdorfer,,09/09/2019,Marked as using computer assistance on lichess,
delpire,,16/09/2019,Marked as using computer assistance on lichess,
cnbuff410,,17/10/2019,Cheating alt,
GoropadniPoni,,17/10/2019,cheat detected game history,https://lichess.org/7QsNYdWa
illumina,,23/10/2019,cheating alt,
TomasThrainsson,,01/11/2019,cheat detected game history,https://lichess.org/9M4O6Vcu
Saxton47,,25/11/2019,Marked as using computer assistance on lichess,
monged01,,26/11/2019,Marked as using computer assistance on lichess,
MyNamesAngel,,04/12/2019,Marked as using computer assistance on lichess,https://lichess.org/ta8Rasrp
Jupp53,,12/01/2020,Marked as using computer assistance on lichess,
fomdox,,18/01/2020,cheat detected game history,https://lichess.org/aZi1fDd8
orwind,,03/02/2020,Marked as using computer assistance on lichess,
mpoisk,,16/02/2020,Mulitaccounting,"ThePasiP, Pasi_P etc"
Ou57,,01/03/2020,cheat detected game history,
adamkit,,21/03/2020,Marked as using computer assistance on lichess,
Anders_son,,25/03/2020,Marked as using computer assistance on lichess,
OdinokiyVolk,OdinokiyVolk,26/03/2020,Troll and alt accounts on lichess including engines,
Roiderious,,30/03/2020,Marked alts,https://lichess.org/@/castanik123?mod
Gitu,,30/03/2020,Marked as using computer assistance on lichess,
pegasus_2000,,01/04/2020,Cheating alt,
Krsto,,05/04/2020,Marked as using computer assistance on lichess,
cuck42069,,11/04/2020,Marked as using computer assistance on lichess,https://lichess.org/@/cuck42069
TheFangster,,11/04/2020,Cheating alt,
TenThousandHours,,11/04/2020,Marked as using computer assistance on lichess,
Broda123,,11/04/2020,Marked as using computer assistance on lichess,
lucrae,,20/04/2020,Cheating alt and marked as engine on lichess,https://lichess.org/@/weetbix is the alt
ghostsword,,23/04/2020,Marked as using computer assistance on lichess,
SteakMonster,,24/04/2020,Marked as using computer assistance on lichess,https://lichess.org/@/SteakMonster
deneme41,,04/05/2020,Marked as using computer assistance on lichess,https://lichess.org/@/deneme41
plansang,,04/05/2020,Marked as using computer assistance on lichess,https://lichess.org/@/plansang
testing_093,,06/05/2020,Admitted to using assistance during a 4545 game,https://lichess4545.slack.com/archives/G0CSD5XCN/p1588288557309600
Mad_shaving,,07/05/2020,Artificial rating change,https://lichess.org/@/mad_shaving
